inventory_id,quantity,reorder_threshold,last_count,updated_at,product_package_id,active_status
33333333-3333-4333-a333-333333333001,0,50,0,2026-03-27,22222222-2222-4222-a222-222222222001,active
33333333-3333-4333-a333-333333333002,8,50,10,2026-03-27,22222222-2222-4222-a222-222222222002,active
33333333-3333-4333-a333-333333333003,120,50,115,2026-03-27,22222222-2222-4222-a222-222222222003,active

33333333-3333-4333-a333-333333333004,0,40,0,2026-03-27,22222222-2222-4222-a222-222222222004,active
33333333-3333-4333-a333-333333333005,15,40,18,2026-03-27,22222222-2222-4222-a222-222222222005,active
33333333-3333-4333-a333-333333333006,90,40,85,2026-03-27,22222222-2222-4222-a222-222222222006,active

33333333-3333-4333-a333-333333333007,12,30,15,2026-03-27,22222222-2222-4222-a222-222222222007,active
33333333-3333-4333-a333-333333333008,75,30,70,2026-03-27,22222222-2222-4222-a222-222222222008,active

33333333-3333-4333-a333-333333333009,0,100,0,2026-03-27,22222222-2222-4222-a222-222222222009,active
33333333-3333-4333-a333-333333333010,35,100,40,2026-03-27,22222222-2222-4222-a222-222222222010,active
33333333-3333-4333-a333-333333333011,180,100,175,2026-03-27,22222222-2222-4222-a222-222222222011,active

33333333-3333-4333-a333-333333333012,20,60,25,2026-03-27,22222222-2222-4222-a222-222222222012,active
33333333-3333-4333-a333-333333333013,130,60,120,2026-03-27,22222222-2222-4222-a222-222222222013,active

33333333-3333-4333-a333-333333333014,0,30,0,2026-03-27,22222222-2222-4222-a222-222222222014,active
33333333-3333-4333-a333-333333333015,18,30,20,2026-03-27,22222222-2222-4222-a222-222222222015,active
33333333-3333-4333-a333-333333333016,70,30,65,2026-03-27,22222222-2222-4222-a222-222222222016,active

33333333-3333-4333-a333-333333333017,0,25,0,2026-03-27,22222222-2222-4222-a222-222222222017,active
33333333-3333-4333-a333-333333333018,55,25,50,2026-03-27,22222222-2222-4222-a222-222222222018,active

33333333-3333-4333-a333-333333333019,10,25,12,2026-03-27,22222222-2222-4222-a222-222222222019,active
33333333-3333-4333-a333-333333333020,60,25,55,2026-03-27,22222222-2222-4222-a222-222222222020,active

33333333-3333-4333-a333-333333333021,0,70,0,2026-03-27,22222222-2222-4222-a222-222222222021,active
33333333-3333-4333-a333-333333333022,50,70,55,2026-03-27,22222222-2222-4222-a222-222222222022,active
33333333-3333-4333-a333-333333333023,150,70,140,2026-03-27,22222222-2222-4222-a222-222222222023,active

33333333-3333-4333-a333-333333333024,8,20,10,2026-03-27,22222222-2222-4222-a222-222222222024,active
33333333-3333-4333-a333-333333333025,40,20,38,2026-03-27,22222222-2222-4222-a222-222222222025,active

33333333-3333-4333-a333-333333333026,0,35,0,2026-03-27,22222222-2222-4222-a222-222222222026,active
33333333-3333-4333-a333-333333333027,22,35,25,2026-03-27,22222222-2222-4222-a222-222222222027,active
33333333-3333-4333-a333-333333333028,95,35,90,2026-03-27,22222222-2222-4222-a222-222222222028,active

33333333-3333-4333-a333-333333333029,18,50,20,2026-03-27,22222222-2222-4222-a222-222222222029,active
33333333-3333-4333-a333-333333333030,65,50,60,2026-03-27,22222222-2222-4222-a222-222222222030,active

33333333-3333-4333-a333-333333333031,0,80,0,2026-03-27,22222222-2222-4222-a222-222222222031,active
33333333-3333-4333-a333-333333333032,60,80,65,2026-03-27,22222222-2222-4222-a222-222222222032,active
33333333-3333-4333-a333-333333333033,170,80,160,2026-03-27,22222222-2222-4222-a222-222222222033,active

33333333-3333-4333-a333-333333333034,12,30,15,2026-03-27,22222222-2222-4222-a222-222222222034,active
33333333-3333-4333-a333-333333333035,85,30,80,2026-03-27,22222222-2222-4222-a222-222222222035,active

33333333-3333-4333-a333-333333333036,0,40,0,2026-03-27,22222222-2222-4222-a222-222222222036,active
33333333-3333-4333-a333-333333333037,30,40,32,2026-03-27,22222222-2222-4222-a222-222222222037,active
33333333-3333-4333-a333-333333333038,110,40,105,2026-03-27,22222222-2222-4222-a222-222222222038,active

33333333-3333-4333-a333-333333333039,10,25,12,2026-03-27,22222222-2222-4222-a222-222222222039,active
33333333-3333-4333-a333-333333333040,55,25,50,2026-03-27,22222222-2222-4222-a222-222222222040,active

33333333-3333-4333-a333-333333333041,0,60,0,2026-03-27,22222222-2222-4222-a222-222222222041,active
33333333-3333-4333-a333-333333333042,45,60,50,2026-03-27,22222222-2222-4222-a222-222222222042,active
33333333-3333-4333-a333-333333333043,140,60,135,2026-03-27,22222222-2222-4222-a222-222222222043,active

33333333-3333-4333-a333-333333333044,20,40,22,2026-03-27,22222222-2222-4222-a222-222222222044,active
33333333-3333-4333-a333-333333333045,70,40,65,2026-03-27,22222222-2222-4222-a222-222222222045,active

33333333-3333-4333-a333-333333333046,0,30,0,2026-03-27,22222222-2222-4222-a222-222222222046,active
33333333-3333-4333-a333-333333333047,25,30,28,2026-03-27,22222222-2222-4222-a222-222222222047,active
33333333-3333-4333-a333-333333333048,100,30,95,2026-03-27,22222222-2222-4222-a222-222222222048,active

33333333-3333-4333-a333-333333333049,18,45,20,2026-03-27,22222222-2222-4222-a222-222222222049,active
33333333-3333-4333-a333-333333333050,90,45,85,2026-03-27,22222222-2222-4222-a222-222222222050,active

33333333-3333-4333-a333-333333333051,0,25,0,2026-03-27,22222222-2222-4222-a222-222222222051,active
33333333-3333-4333-a333-333333333052,15,25,18,2026-03-27,22222222-2222-4222-a222-222222222052,active
33333333-3333-4333-a333-333333333053,60,25,55,2026-03-27,22222222-2222-4222-a222-222222222053,active

