product_id,name,image_url,created_at,updated_at,brand,store_id,category_id,active_status
11111111-1111-4111-a111-111111110101,Wireless Mouse,https://example.com/mouse.jpg,2026-03-24 08:30:00,2026-03-24 08:30:00,Logitech,store_1,77777777-7777-4777-a777-777777777701,active
11111111-1111-4111-a111-111111110102,Mechanical Keyboard,https://example.com/keyboard.jpg,2026-03-24 09:15:00,2026-03-24 09:15:00,Keychron,store_1,77777777-7777-4777-a777-777777777701,active
11111111-1111-4111-a111-111111110103,Gaming Headset,https://example.com/headset.jpg,2026-03-24 09:20:00,2026-03-24 09:20:00,Razer,store_1,77777777-7777-4777-a777-777777777701,active
11111111-1111-4111-a111-111111110104,USB-C Hub,,2026-03-24 09:25:00,2026-03-24 09:25:00,Anker,store_1,77777777-7777-4777-a777-777777777701,inactive
11111111-1111-4111-a111-111111110201,Cotton T-Shirt,,2026-03-24 10:00:00,2026-03-24 10:00:00,Uniqlo,store_1,77777777-7777-4777-a777-777777777702,active
11111111-1111-4111-a111-111111110202,Denim Jeans,https://example.com/jeans.jpg,2026-03-24 10:05:00,2026-03-24 10:05:00,Levis,store_1,77777777-7777-4777-a777-777777777702,active
11111111-1111-4111-a111-111111110203,Hoodie Jacket,,2026-03-24 10:10:00,2026-03-24 10:10:00,Nike,store_1,77777777-7777-4777-a777-777777777702,inactive
11111111-1111-4111-a111-111111110204,Sports Shorts,https://example.com/shorts.jpg,2026-03-24 10:12:00,2026-03-24 10:12:00,Adidas,store_1,77777777-7777-4777-a777-777777777702,active
11111111-1111-4111-a111-111111110301,Mineral Water 500ml,,2026-03-24 10:45:00,2026-03-24 10:45:00,Aquafina,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111110302,Orange Juice 1L,https://example.com/oj.jpg,2026-03-24 10:50:00,2026-03-24 10:50:00,Tropicana,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111110303,Instant Noodles,,2026-03-24 10:55:00,2026-03-24 10:55:00,Indomie,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111110304,Snack Chips,https://example.com/chips.jpg,2026-03-24 11:00:00,2026-03-24 11:00:00,Lays,store_1,77777777-7777-4777-a777-777777777703,inactive
11111111-1111-4111-a111-111111110401,A4 Copy Paper,,2026-03-24 11:20:00,2026-03-24 11:20:00,Double A,store_1,77777777-7777-4777-a777-777777777704,inactive
11111111-1111-4111-a111-111111110402,Ballpoint Pen Blue,https://example.com/pen.jpg,2026-03-24 11:25:00,2026-03-24 11:25:00,Pilot,store_1,77777777-7777-4777-a777-777777777704,active
11111111-1111-4111-a111-111111110403,Notebook A5,,2026-03-24 11:30:00,2026-03-24 11:30:00,Kokuyo,store_1,77777777-7777-4777-a777-777777777704,active
11111111-1111-4111-a111-111111110404,Stapler Mini,https://example.com/stapler.jpg,2026-03-24 11:35:00,2026-03-24 11:35:00,Deli,store_1,77777777-7777-4777-a777-777777777704,inactive
