unit_id,code,name
88888888-8888-4888-a888-888888888801,BOX,Box
88888888-8888-4888-a888-888888888802,PCS,Piece
88888888-8888-4888-a888-888888888803,CAN,Can
88888888-8888-4888-a888-888888888804,CRT,Carton
88888888-8888-4888-a888-888888888805,PKT,Packet
88888888-8888-4888-a888-888888888806,BTL,Bottle
88888888-8888-4888-a888-888888888807,BAG,Bag
88888888-8888-4888-a888-888888888808,TUBE,Tube
88888888-8888-4888-a888-888888888809,SET,Set
88888888-8888-4888-a888-888888888810,ROLL,Roll
88888888-8888-4888-a888-888888888811,PAIR,Pair
88888888-8888-4888-a888-888888888812,DOZ,Dozen
88888888-8888-4888-a888-888888888813,KG,Kilogram
88888888-8888-4888-a888-888888888814,G,Gram
88888888-8888-4888-a888-888888888815,L,Liter
88888888-8888-4888-a888-888888888816,ML,Milliliter
88888888-8888-4888-a888-888888888817,M,Meter
88888888-8888-4888-a888-888888888818,CM,Centimeter
88888888-8888-4888-a888-888888888819,PK,Pack
88888888-8888-4888-a888-888888888820,TRAY,Tray
