product_package_id,barcode_value,display_name,import_price,selling_price,created_at,updated_at,unit_id,product_id,active_status,barcode_type
22222222-2222-4222-a222-222222222001,100001,TV Box,400,550,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120001,active,ean
22222222-2222-4222-a222-222222222002,100002,TV Piece,390,530,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120001,active,qr

22222222-2222-4222-a222-222222222003,100003,MacBook Box,900,1200,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120002,active,upc

22222222-2222-4222-a222-222222222004,100004,ROG Box,850,1100,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120003,active,ean
22222222-2222-4222-a222-222222222005,100005,ROG Piece,830,1080,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120003,active,code128

22222222-2222-4222-a222-222222222006,100006,TShirt Piece,5,10,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120004,active,qr
22222222-2222-4222-a222-222222222007,100007,TShirt Pack,20,35,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888819,11111111-1111-4111-a111-111111120004,active,ean

22222222-2222-4222-a222-222222222008,100008,Jeans Piece,15,30,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120005,active,upc

22222222-2222-4222-a222-222222222009,100009,Coca Can,0.3,0.8,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888803,11111111-1111-4111-a111-111111120006,active,ean
22222222-2222-4222-a222-222222222010,100010,Coca Carton,6,12,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888804,11111111-1111-4111-a111-111111120006,active,code128

22222222-2222-4222-a222-222222222011,100011,Pepsi Can,0.25,0.75,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888803,11111111-1111-4111-a111-111111120007,active,ean
22222222-2222-4222-a222-222222222012,100012,Pepsi Carton,5.5,11,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888804,11111111-1111-4111-a111-111111120007,active,qr

22222222-2222-4222-a222-222222222013,100013,Sprite Can,0.28,0.78,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888803,11111111-1111-4111-a111-111111120008,active,upc

22222222-2222-4222-a222-222222222014,100014,Fanta Can,0.27,0.77,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888803,11111111-1111-4111-a111-111111120009,active,ean

22222222-2222-4222-a222-222222222015,100015,Juice Bottle,0.8,1.5,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888806,11111111-1111-4111-a111-111111120010,active,qr

22222222-2222-4222-a222-222222222016,100016,Lays Packet,0.4,1,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888805,11111111-1111-4111-a111-111111120011,active,code128

22222222-2222-4222-a222-222222222017,100017,Lamp Piece,8,20,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120012,active,ean

22222222-2222-4222-a222-222222222018,100018,Table Set,50,120,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120013,active,qr

22222222-2222-4222-a222-222222222019,100019,Case Piece,2,8,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120014,active,ean

22222222-2222-4222-a222-222222222020,100020,Fan Piece,15,40,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120015,active,upc

22222222-2222-4222-a222-222222222021,100021,Lipstick Piece,3,10,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120016,active,ean
22222222-2222-4222-a222-222222222022,100022,Lipstick Box,30,80,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120016,active,qr

22222222-2222-4222-a222-222222222023,100023,Basketball Piece,10,25,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120017,active,code128

22222222-2222-4222-a222-222222222024,100024,Monopoly Set,15,40,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120018,active,ean

22222222-2222-4222-a222-222222222025,100025,Vacuum Piece,20,60,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120019,active,qr

22222222-2222-4222-a222-222222222026,100026,Dog Food Bag,8,20,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888807,11111111-1111-4111-a111-111111120020,active,ean

22222222-2222-4222-a222-222222222027,100027,Notebook Piece,1,3,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120021,active,upc

22222222-2222-4222-a222-222222222028,100028,Vitamin Bottle,5,15,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888806,11111111-1111-4111-a111-111111120022,active,ean

22222222-2222-4222-a222-222222222029,100029,Diapers Pack,10,30,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888819,11111111-1111-4111-a111-111111120023,active,qr

22222222-2222-4222-a222-222222222030,100030,Necklace Piece,20,100,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120024,active,ean

22222222-2222-4222-a222-222222222031,100031,Rice Bag,12,25,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888807,11111111-1111-4111-a111-111111120025,active,upc

22222222-2222-4222-a222-222222222032,100032,Drill Piece,40,90,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120026,active,code128

22222222-2222-4222-a222-222222222033,100033,Guitar Piece,50,150,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120027,active,ean

22222222-2222-4222-a222-222222222034,100034,PS5 Box,400,700,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120028,active,qr

22222222-2222-4222-a222-222222222035,100035,Camera Piece,300,600,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120029,active,ean

22222222-2222-4222-a222-222222222036,100036,Suitcase Piece,40,120,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120030,active,upc

22222222-2222-4222-a222-222222222037,100037,Shoes Pair,20,60,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888811,11111111-1111-4111-a111-111111120031,active,ean

22222222-2222-4222-a222-222222222038,100038,Bulb Piece,3,10,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120032,active,qr

22222222-2222-4222-a222-222222222039,100039,Pan Piece,10,35,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120033,active,ean

22222222-2222-4222-a222-222222222040,100040,Hose Roll,15,45,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888810,11111111-1111-4111-a111-111111120034,active,code128

22222222-2222-4222-a222-222222222041,100041,Ceiling Light Piece,12,50,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120035,active,ean

22222222-2222-4222-a222-222222222042,100042,Camera Indoor Piece,25,70,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120036,active,qr

22222222-2222-4222-a222-222222222043,100043,Tent Set,60,150,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120037,active,ean

22222222-2222-4222-a222-222222222044,100044,Dumbbell Set,80,200,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120038,active,upc

22222222-2222-4222-a222-222222222045,100045,Candle Piece,2,10,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120039,active,qr

22222222-2222-4222-a222-222222222046,100046,Christmas Set,10,40,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120040,active,ean

22222222-2222-4222-a222-222222222047,100047,Extra TV Carton,700,900,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888804,11111111-1111-4111-a111-111111120001,active,code128
22222222-2222-4222-a222-222222222048,100048,Extra MacBook Piece,880,1150,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888802,11111111-1111-4111-a111-111111120002,active,qr
22222222-2222-4222-a222-222222222049,100049,Extra ROG Carton,1000,1300,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888804,11111111-1111-4111-a111-111111120003,active,ean

22222222-2222-4222-a222-222222222050,100050,Extra Coke Tray,8,15,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888820,11111111-1111-4111-a111-111111120006,active,upc
22222222-2222-4222-a222-222222222051,100051,Extra Pepsi Tray,7,14,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888820,11111111-1111-4111-a111-111111120007,active,ean

22222222-2222-4222-a222-222222222052,100052,Extra Lamp Box,15,35,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120012,active,qr
22222222-2222-4222-a222-222222222053,100053,Extra Fan Box,25,60,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120015,active,ean

22222222-2222-4222-a222-222222222054,100054,Extra Vacuum Box,30,80,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120019,active,code128
22222222-2222-4222-a222-222222222055,100055,Extra Dog Food Pack,12,28,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888819,11111111-1111-4111-a111-111111120020,active,qr

22222222-2222-4222-a222-222222222056,100056,Extra Drill Box,60,120,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888801,11111111-1111-4111-a111-111111120026,active,ean
22222222-2222-4222-a222-222222222057,100057,Extra Guitar Set,70,200,2026-03-26,2026-03-26,88888888-8888-4888-a888-888888888809,11111111-1111-4111-a111-111111120027,active,upc

